codigo,nome,cientifico,grupo,Alfa-tocoferol (Vitamina E) (mg),Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g),Cinzas (g),Cobre (mg),Colesterol (g),Colesterol (mg),Cálcio (mg),Energia (kJ),Energia (kcal),Equivalente de folato (mcg),Ferro (mg),Fibra alimentar (g),Fósforo (mg),Gordura de adição (g),Lipídios (g),Magnésio (mg),Niacina (mg),Potássio (mg),Proteína (g),Proteína animal (g),Proteína vegetal (g),Riboflavina (mg),Sal de adição (g),Selênio (mcg),Sódio (mg),Tiamina (mg),Umidade (g),Vitamina A (RAE) (mcg),Vitamina A (RE) (mcg),Vitamina B12 (mcg),Vitamina B6 (mg),Vitamina C (mg),Vitamina D (mcg),Zinco (mg),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos saturados (g),Ácidos graxos trans (g),Álcool (g)
C0046L,"Vinagre, arroz,",,Miscelâneas,0.00,,11.8,11.8,0.10,,,0.00,2.00,204,48,0.00,0.10,0.00,15.0,,0.00,6.00,0.30,16.0,0.20,,,0.01,,,12.0,0.01,87.9,0.00,0.00,0.10,0.02,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
C0178E,"Peixe, água salgada, pescadinha, cozido, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal, Cynoscion striatus,",,Pescados e Frutos do mar,0.53,0.00,3.92,3.97,2.30,0.11,,84.3,352,466,111,15.6,0.64,0.05,341,,3.43,36.0,6.49,334,16.0,,,0.07,0.45,31.9,191,0.08,74.3,0.24,0.48,2.07,0.00,0.00,1.06,0.66,0.76,0.96,1.31,,0.00
C0788F,"Carne, peru, peito, s/ pele, cozida, drenada, s/ óleo, s/ sal, Meleagris gallopavo,",,Carnes e derivados,0.04,0.00,0.00,0.00,1.53,0.04,,47.7,10.3,582,138,4.72,0.82,0.00,174,,2.10,25.5,8.33,144,29.7,,,0.21,0.00,29.8,39.9,0.04,65.8,2.47,2.47,0.91,0.66,0.00,0.10,1.57,0.51,0.57,0.31,,0.00
C1101B,"Salpicão vegano, c/ creme de inhame, s/ sal, (inhame, cenoura, uva passa, maçã, milho e ervilha em conserva, salsinha e cebolinha, pimenta do reino, alho, s/ sal),",,Vegetais e derivados,1.72,,21.9,25.6,1.19,0.15,0.00,,21.0,611,145,25.7,0.93,3.68,79.7,,3.98,20.0,0.72,348,3.61,,,0.04,0.00,0.98,69.5,0.12,65.6,76.5,140,0.00,0.10,5.79,0.00,0.54,1.19,0.54,1.37,0.01,0.00
C0610B,"Salada, alface americana, tomate, palmito, azeitona preta, c/ azeite de oliva, c/ sal,",,Vegetais e derivados,1.50,0.00,2.01,3.56,1.86,0.11,,0.00,26.9,364,88,17.4,1.17,2.34,24.9,,8.02,12.3,0.00,150,1.21,,,0.01,0.32,0.26,542,0.04,84.5,54.4,108,0.00,0.02,7.72,0.00,0.27,5.08,1.06,1.32,0.00,0.00
C1103A,"Macarrão, trigo integral, c/ carne bovina músculo, salsa, pimenta-do-reino, c/ manteiga, cebola e alho, s/ sal,",,Cereais e derivados,0.31,0.00,16.6,19.2,0.43,0.08,,19.8,12.4,660,157,16.5,0.88,2.65,73.2,,5.18,12.6,1.80,106,9.78,,,0.04,0.00,1.92,13.9,0.07,65.4,40.4,45.8,0.28,0.07,0.86,0.06,1.61,1.49,0.24,2.76,0.15,0.00
C0078F,"Carne, boi, ponta de agulha, crua, Bos taurus,",,Carnes e derivados,0.00,0.00,0.00,0.00,1.11,0.05,,34.2,15.2,705,169,3.01,1.48,0.00,97.0,,10.0,10.6,0.30,146,19.7,,,0.05,0.00,,49.8,,69.2,,,3.44,0.19,0.00,,2.95,4.37,0.11,4.27,0.31,0.00
C0007F,"Apresuntado, fatiado, cozido, Sadia,",,Carnes e derivados,0.04,,3.32,3.32,3.12,0.03,,25.5,21.1,454,108,5.24,0.82,,210,,4.53,14.2,0.65,251,13.5,,,0.03,,,879,0.58,75.5,,,0.31,,,0.37,1.54,1.75,0.77,1.31,,0.00
C0790B,"Farofa,  c/ ovos, c/ toucinho defumado (bacon), c/ sal, (farinha de mandioca (aipim, macaxeira), ovo, toucinho defumado (bacon), azeitona, salsa, c/ óleo, cebola e alho, c/ sal),",,Vegetais e derivados,0.84,0.00,46.3,50.3,1.00,0.06,,85.6,56.2,1519,362,32.5,1.40,3.93,68.9,,16.1,26.4,0.66,253,6.03,,,0.12,0.32,4.09,115,0.02,26.7,38.5,41.4,0.35,0.46,0.79,0.40,0.61,5.46,5.76,3.90,0.09,0.00
C0539A,"Arroz com coco, c/ arroz polido, c/ sal, (arroz polido, c/ coco e leite de coco, c/ óleo, cebola e alho, c/ sal),",,Cereais e derivados,0.32,0.00,20.9,22.5,0.43,0.16,,0.00,6.57,751,180,7.07,0.43,1.56,30.2,,9.27,24.3,,89.7,2.35,,,,0.47,2.26,9.38,0.00,65.5,0.00,0.00,0.00,0.02,1.01,0.00,0.58,0.79,1.32,5.75,0.01,0.00
C0246C,"Suco natural, murici (mirici, muricizinho), c/ açúcar,",,Frutas e derivados,2.53,5.00,9.93,12.6,0.31,0.05,,0.00,18.3,235,56,,0.22,2.72,9.04,,1.03,10.2,0.15,111,0.37,,,0.00,0.00,0.00,4.22,,85.6,1.20,3.60,0.00,,15.4,0.00,0.18,0.02,0.00,0.01,0.01,0.00
C0023D,"Óleo, babaçu, Orbignia martiana,",,Gorduras e óleos,19.1,0.00,0.00,0.00,0.00,,,,0.00,3700,900,0.00,0.00,0.00,0.00,,100.0,0.00,0.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,18.6,30.2,50.9,0.19,0.00
C0020U,"Castanha do Brasil, caramelizada,",,Sementes e Oleaginosas,4.72,25.0,29.6,35.6,2.67,1.56,,0.00,133,2504,604,16.5,2.78,5.95,512,,47.9,249,,513,11.0,,,0.01,0.00,2536,3.41,0.23,2.85,0.00,0.00,0.00,,,0.00,3.25,20.6,15.8,11.5,0.00,0.00
C0643A,"Rondele, ricota e espinafre, c/ molho de tomate, caseiro, c/ sal, (massa com farinha de  trigo, c/ ricota e espinafre, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal),",,Cereais e derivados,0.80,0.00,11.6,13.2,1.74,0.07,,15.4,70.5,435,102,54.4,0.81,1.63,60.9,,3.58,14.8,1.19,164,5.15,,,0.07,0.47,1.12,428,0.06,76.3,59.0,86.1,0.08,0.03,6.21,0.05,0.32,0.96,1.01,1.32,0.05,0.00
C0083R,"Missôshiru, frango, em pó, Sakura,",,Alimentos industrializados,0.09,,10.4,21.4,34.5,,,0.00,39.7,1,265,13.2,1.73,10.9,110,,10.7,33.4,0.63,146,26.4,,,0.16,,,2597,0.07,7.00,36.9,,0.06,0.14,0.00,0.00,1.78,1.98,5.12,1.82,0.00,0.00
C0516E,"Peixe, água doce, Pirarucu, cultivado em Rondonia, grelhado (a partir do peixe fresco), s/ óleo de soja, c/ sal (média de peixes com diferentes pesos e cortes), Arapaima gigas,",,Pescados e frutos do mar,0.73,0.45,14.0,14.7,1.39,0.13,70.5,,22.2,1071,255,45.0,1.39,0.71,234,,11.4,37.8,2.87,362,23.9,,,0.10,0.00,6.26,125,0.09,48.6,15.7,15.8,1.38,0.14,,,1.02,2.21,5.35,1.93,0.07,0.00
C0902B,"Milho, cuscuz, cozido, c/ leite integral, c/ açúcar,",,Vegetais e derivados,0.07,8.00,15.9,16.7,0.67,0.01,,3.96,35.2,372,88,41.0,0.73,1.23,40.1,,1.44,4.74,0.46,49.1,2.23,,,0.07,0.00,2.25,169,0.01,69.1,18.4,21.4,0.11,0.04,,0.00,0.24,0.42,0.22,0.76,,0.00
